index	idiom	submission	category	1.Wrong Category	2.Undecidable	3.Low Context	4.Vulgar	5.Incorrect Grammar/   Word Order	6.Incorrect Spelling	7.Meaningless	8.Negative Sentiment	9.Restricted Readers	10.Not-Idiomatic & Not-Literal	11.Quality	12.Notes
636	Gettare la spugna	Forza getta la spugna che stai perdendo.	idiom	0	0	0	0	0	0	0	0	0	0	0	
637	Gettare la spugna	Forza non gettare la spugna proprio adesso!	idiom	0	0	0	0	0	0	0	0	0	0	2	
648	Gettare la spugna	Getta la spugna perché si è bucata.	nonidiom	0	0	0	0	0	0	0	0	0	0	1	
653	Gettare la spugna	Getta la spugna, è inutile parlare con testardi come loro.	idiom	0	0	0	0	0	0	0	0	0	0	1	
655	Gettare la spugna	Getta proprio la spugna dei piatti	nonidiom	0	0	0	0	0	0	0	0	0	0	0	
656	Gettare la spugna	Gettai la spugna perché non sapevo come affrontare la situazione	idiom	0	0	0	0	0	0	0	0	0	0	2	
657	Gettare la spugna	Gettai violentemente la spugna a terra per la rabbia.	nonidiom	0	0	0	0	0	0	0	0	0	0	0	
661	Gettare la spugna	Gettando la spugna ti sei rivelato per quello che sei.	idiom	0	0	0	0	0	0	0	0	0	0	1	
677	Gettare la spugna	Gettare la spugna è da perdenti	idiom	0	0	0	0	0	0	0	0	0	0	1	
705	Gettare la spugna	Ha gettato completamente la spugna per la difficoltà dell'esercizio	idiom	0	0	0	0	0	0	0	0	0	0	1	
721	Gettare la spugna	Ho dimenticato di gettare la spugna consumata dei piatti.	nonidiom	0	0	0	0	0	0	0	0	0	0	1	
723	Gettare la spugna	Ho gettato con forza la spugna nella vasca	nonidiom	0	0	0	0	0	0	0	0	0	0	0	
727	Gettare la spugna	Ho gettato la spugna dell'Eurospin, mi graffiava e non lavava!	nonidiom	0	0	0	0	0	0	0	0	0	0	0	
749	Gettare la spugna	Ho gettato per sbaglio la spugna nuova al posto della vecchia	nonidiom	0	0	0	0	0	0	0	0	0	0	1	
752	Gettare la spugna	I miei colleghi universitari mi hanno convinto a non gettare la spugna.	idiom	0	0	0	0	0	0	0	0	0	0	2	
760	Gettare la spugna	Il pugile ha gettato la spugna.	idiom	0	0	0	0	0	0	0	0	0	0	2	
772	Gettare la spugna	La lezione offre i giusti spunti per gettare la spugna	idiom	0	0	0	0	0	0	0	0	0	0	0	
776	Gettare la spugna	La spugna che hai appena usato per lavare il cane va gettata.	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
805	Gettare la spugna	Mi è stato insegnato a non gettare mai la spugna	idiom	0	0	0	0	0	0	0	0	0	0	2	
828	Gettare la spugna	Non gettare la spugna rosa, l'ho comprata ieri.	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
849	Gettare la spugna	Non ho intenzione di gettare la spugna!	idiom	0	0	0	0	0	0	0	0	0	0	2	
855	Gettare la spugna	Non mi vedrai mai gettare la spugna, sappilo.	idiom	0	0	0	0	0	0	0	0	0	0	1	
861	Gettare la spugna	Non puoi gettare la spugna nell’umido	nonidiom	0	0	0	0	0	0	0	0	0	0	0	
869	Gettare la spugna	Non vedo l'ora di vedere il leader gettare la spugna.	idiom	0	0	0	0	0	0	0	0	0	0	1	
871	Gettare la spugna	Non voglio gettare la spugna	idiom	0	0	1	0	0	0	0	0	0	0	0	
872	Gettare la spugna	Non voglio gettare la spugna al primo ostacolo.	idiom	0	0	0	0	0	0	0	0	0	0	1	
873	Gettare la spugna	Non voglio gettare la spugna, ma vengo a sapere che i miei amici mi pugnalano alle spalle scalando la classifica e superarmi.	idiom	0	0	0	0	1	0	0	0	0	0	0	
877	Gettare la spugna	Ora vengo a gettare la spugna che non hai buttato ieri.	nonidiom	0	0	0	0	0	0	0	0	0	0	0	
906	Gettare la spugna	Rosa sta facendo di tutto per farci gettare la spugna.	idiom	0	0	0	0	0	0	0	0	0	0	1	
916	Gettare la spugna	Smettila di gettare la spugna dopo averla usata una sola volta, è uno spreco	nonidiom	0	0	0	0	0	0	0	0	0	0	1	
933	Gettare la spugna	Ti ho chiesto di gettare le spugne nell'indifferenziato	idiom	0	0	0	0	0	0	0	0	0	0	0	
934	Gettare la spugna	Ti ricordo di gettare la spugna che usi per lavarti.	nonidiom	0	0	0	0	0	0	0	0	0	0	1	
937	Gettare la spugna	Tutti gettano la spugna a terra	nonidiom	0	0	0	0	0	0	0	0	0	0	0	
946	Gettare la spugna	Vorrei solo gettare la spugna	idiom	0	0	0	0	0	0	0	0	0	0	1	
948	Gettare la spugna	Vorresti gettare la spugna?	idiom	0	0	0	0	0	0	0	0	0	0	0	
954	Gettare la spugna	È importante gettare le spugne utilizzate	nonidiom	0	0	0	0	0	0	0	0	0	0	0	
971	Mettere dentro	Comunque mi ha voltato la faccia, non ha coltivato il proprio orto, mi ha denunciata e ora mi hanno messo dentro, non ci posso credere	idiom	0	0	0	0	0	0	0	0	0	0	0	
972	Mettere dentro	Credete che mettere degli insulti dentro un gioco vi renderà la vittoria più facile?	nonidiom	0	0	0	0	0	0	0	0	1	0	0	
984	Mettere dentro	Ha messo i figli dentro una bolla di vetro e ora sono inesperti	idiom	0	0	0	0	0	0	0	0	0	1	0	
991	Mettere dentro	Ho messo dentro la friggitrice le melanzane, dai un'occhiata	nonidiom	0	0	0	0	0	0	0	0	0	0	0	
1010	Mettere dentro	L'ha messo proprio dentro	nonidiom	0	0	0	1	0	0	0	0	0	0	0	
1012	Mettere dentro	Lo hanno colto sul fatto e lo hanno messo dentro	idiom	0	0	0	0	0	0	0	0	0	0	1	
1015	Mettere dentro	Me lo mette sempre dentro	nonidiom	0	0	0	1	0	0	0	0	0	0	0	
1020	Mettere dentro	Metti dentro l’armadio i vestiti	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
1029	Mettere dentro	Metti un po' di sale dentro la pasta	nonidiom	0	0	0	0	0	0	0	0	0	0	0	
1031	Mettere dentro	Mi hanno messo dentro per spaccio, ma a te per omicidio	idiom	0	0	0	0	0	0	0	0	0	0	0	
1032	Mettere dentro	Mio zio fa il poliziotto ed ha messo dentro quel ladro di giornali	idiom	0	0	0	0	0	0	0	0	0	0	0	
1036	Mettere dentro	Non metterti dentro la mia vita	nonidiom	1	0	0	0	0	0	0	0	0	0	0	
1037	Mettere dentro	Non mi mettere dentro, per favore	idiom	0	0	0	0	0	0	0	0	0	0	0	
1058	Mettere dentro	Sta meglio se lo mettono di nuovo dentro che come sta adesso	idiom	0	0	0	0	0	0	0	0	0	0	1	
1061	Mettere dentro	Ti metterò dentro una volta per tutte	idiom	0	0	0	0	0	0	0	0	0	0	1	
1066	abbaiare alla luna	Abbai almeno 10 volte al giorno alla luna	idiom	0	0	0	0	0	0	0	0	0	0	0	
1073	abbaiare alla luna	Dopo averlo offeso, iniziò ad abbaiare alla luna	idiom	0	0	0	0	0	0	0	0	0	0	0	
1086	abbaiare alla luna	smetti di abbaiare sempre alla luna, i problemi non si risolvono così	idiom	0	0	0	0	0	0	0	0	0	0	2	
1103	Buttare giù	Siccome ho fame butterò giù qualcosa.	idiom	0	0	0	0	0	0	0	0	0	0	2	
1109	Coltivare il proprio orto	Che coltivi il proprio orto, io penso al mio	nonidiom	0	0	1	0	0	0	0	0	0	0	0	
1120	Coltivare il proprio orto	Coltivare o no il proprio orto, non fa differenza	nonidiom	0	0	1	0	0	0	0	0	0	0	0	
1137	Coltivare il proprio orto	Inserisci una frase di esempio che contiene le parole coltivare il  proprio e orto.	nonidiom	0	0	0	0	0	0	0	0	0	0	0	
1139	Coltivare il proprio orto	la vita è meno complicata se si coltiva solo il proprio orto	idiom	0	0	0	0	0	0	0	0	0	0	0	
1142	Coltivare il proprio orto	Meglio coltivare il proprio orto che giudicare quello altrui	idiom	0	0	0	0	0	0	0	0	0	0	2	
1170	Gettare la spugna	Abbiamo rischiato di gettare subito la spugna.	idiom	0	0	0	0	0	0	0	0	0	0	1	
1173	Gettare la spugna	Bisogna gettare la spugna nella pattumiera	idiom	1	0	0	0	0	0	0	0	0	0	0	
1178	Gettare la spugna	Chi è stato a gettare la mia spugna nella pattumiera?	nonidiom	0	0	0	0	0	0	0	0	0	0	0	
1186	Gettare la spugna	Dopo aver lavato la doccia ho gettato la spugna nel lavandino.	nonidiom	0	0	0	0	0	0	0	0	0	0	1	
1187	Gettare la spugna	Dopo averla usata getta la spugna e non conservarla.	nonidiom	0	0	0	0	0	0	0	0	0	0	1	
1197	Gettare la spugna	Getta la spugna e arrenditi!	idiom	0	0	0	0	0	0	0	0	0	0	1	
1204	Gettare la spugna	Gettando così la spugna, persi i risultati raggiunti	nonidiom	0	0	0	0	0	0	0	0	0	0	0	
1222	Gettare la spugna	Getteresti la spugna che ha usato il cane per favore?	nonidiom	0	0	0	0	0	0	0	0	0	0	1	
1227	Gettare la spugna	Giuseppe non getterà la spugna così facilmente.	idiom	0	0	0	0	0	0	0	0	0	0	1	
1231	Gettare la spugna	Ha gettato la spugna nell'indifferenziata	nonidiom	0	0	0	0	0	0	0	0	0	0	1	
1240	Gettare la spugna	Ho gettato la spugna (G)	idiom	0	0	0	0	0	0	0	0	0	0	0	
1241	Gettare la spugna	Ho gettato la spugna mentre lavavo i piatti	nonidiom	0	0	0	0	0	0	0	0	0	0	0	
1246	Gettare la spugna	Ho gettato tutte le spugne presenti in casa.	nonidiom	0	0	0	0	0	0	0	0	0	0	0	
1266	Gettare la spugna	Non devi gettare la mia spugna sul pavimento	nonidiom	0	0	0	0	0	0	0	0	0	0	0	
1271	Gettare la spugna	Non gettare la spugna azzurra a pois.	nonidiom	0	0	0	0	0	0	0	0	0	0	0	
1289	Gettare la spugna	Ops ho dimenticato di gettare la spugna sporca di trucco.	nonidiom	0	0	0	0	0	0	0	0	0	0	0	
1320	Gettare la spugna	Ti ho visto nel bagno, ma hai gettato le spugne?	nonidiom	0	0	0	0	0	0	0	0	0	0	0	
1334	Mettere dentro	Ci metteranno tutti dentro, siamo troppo malpensanti	idiom	0	0	0	0	0	0	0	0	0	0	1	
1353	Mettere dentro	Ho messo le cianfrusaglie dentro una scatola	nonidiom	0	0	0	0	0	0	0	0	0	0	1	
1356	Mettere dentro	La polizia ha messo dentro quel criminale di cui ti parlavo	idiom	0	0	0	0	0	0	0	0	0	0	1	
1363	Mettere dentro	Metterò Dodiom dentro una gabbia	nonidiom	0	0	0	0	0	0	0	0	1	0	0	
1364	Mettere dentro	Metti dentro la scatola tutti i ricordi del tuo ex e bruciala	nonidiom	0	0	0	0	0	0	0	0	0	0	1	
1392	Mettere dentro	Vai e metti i soldi dentro il distributore che voglio un caffè	nonidiom	0	0	0	0	0	0	0	0	0	0	0	
1395	abbaiare alla luna	è inutile abbaiare alla luna	idiom	0	0	0	0	0	0	0	0	0	0	0	
1425	Gettare la spugna	Non gettare mai più la spugna per i piatti a terra!	nonidiom	0	0	0	0	0	0	0	0	0	0	0	
